tconst	averageRating	numVotes
tt0002822	4.5	23
tt0002829	5.0	9
tt0002832	8.0	9
tt0002844	6.9	1764
tt0002847	5.1	13
tt0002848	4.7	9
tt0002850	6.1	9
tt0002851	5.4	272
tt0002853	4.2	18
tt0002863	6.8	33
tt0002867	5.6	88
tt0002885	6.0	84
tt0002893	6.0	8
tt0002894	6.0	6
tt0002897	5.7	27
tt0002898	7.0	75
tt0002902	4.8	10
tt0002910	6.2	61
tt0002917	5.9	23
tt0002919	4.8	50
tt0002921	3.9	8
tt0002922	5.0	32
tt0002956	5.2	31
tt0002973	5.2	6
tt0002983	6.0	228
tt0002985	6.3	247
tt0002990	5.6	111
tt0002996	4.4	16
tt0002999	6.1	9
tt0003001	5.1	9
tt0003006	6.0	7
tt0003014	7.2	810
tt0003015	4.8	31
tt0003016	5.5	58
tt0003022	5.7	27
tt0003035	6.3	7
tt0003037	6.9	1223
tt0003044	5.5	13
tt0003046	6.8	36
tt0003054	5.6	8
tt0003057	5.6	5
tt0003059	5.7	26
tt0003065	5.8	43
tt0003073	4.9	15
tt0003075	7.2	10
tt0003078	6.7	10
tt0003083	3.8	5
tt0003093	6.6	10
tt0003102	6.6	78
tt0003104	5.8	223
tt0003106	5.7	55
tt0003112	6.7	6
tt0003131	6.8	86
tt0003133	6.0	11
tt0003156	6.1	9
tt0003158	6.1	9
tt0003159	5.8	18
tt0003165	6.9	945
tt0003167	6.0	147
tt0003170	6.5	635
tt0003177	4.6	108
tt0003212	5.2	13
tt0003214	6.5	180
tt0003215	6.4	8
tt0003226	4.8	6
tt0003235	5.6	12
tt0003238	5.4	101
tt0003241	5.1	8
tt0003242	8.1	10
tt0003249	7.1	9
tt0003265	4.7	51
tt0003278	7.4	9
tt0003288	6.1	12
tt0003301	5.9	19
tt0003309	5.5	15
tt0003310	5.5	28
tt0003311	6.4	276
tt0003316	6.9	9
tt0003317	7.3	13
tt0003323	6.9	18
tt0003330	6.4	72
tt0003337	5.8	20
tt0003345	5.9	14
tt0003355	4.8	6
tt0003360	5.4	78
tt0003362	5.9	7
tt0003379	4.2	8
tt0003386	8.1	9
tt0003399	5.0	212
tt0003417	5.0	25
tt0003419	6.6	1482
tt0003424	7.4	913
tt0003427	5.9	23
tt0003436	5.5	50
tt0003438	6.0	19
tt0003441	6.4	9
tt0003442	5.9	7
tt0003451	4.8	5
tt0003454	5.8	5
tt0003460	6.6	37
tt0003468	4.3	19
tt0003471	6.1	493
tt0003489	6.1	434
tt0003497	6.7	6
tt0003499	6.9	14
tt0003500	6.8	6
tt0003502	5.9	15
tt0003508	6.4	7
tt0003512	5.3	97
tt0003516	5.2	28
tt0003526	5.8	19
tt0003536	4.8	5
tt0003540	5.6	22
tt0003565	6.6	14
tt0003578	6.8	6
tt0003584	7.0	11
tt0003585	7.0	7
tt0003587	6.0	11
tt0003588	5.4	7
tt0003589	6.6	9
tt0003596	6.1	39
tt0003599	7.0	6
tt0003609	6.0	5
tt0003615	6.0	97
tt0003618	8.2	16
tt0003625	5.5	13
tt0003630	5.6	15
tt0003637	6.5	324
tt0003638	7.0	7
tt0003643	6.9	982
tt0003657	6.7	104
tt0003662	6.3	646
tt0003665	6.6	43
tt0003670	6.5	22
tt0003679	5.5	1190
tt0003698	7.2	19
tt0003699	5.0	17
tt0003724	6.3	11
tt0003733	4.9	823
tt0003734	5.2	191
tt0003735	5.7	18
tt0003740	6.8	2640
tt0003743	5.8	15
